Palabra,Categoria,Traduccion,Idioma,Conjugaciones,Estado
abbalintari,Verbo,hacer el jactancioso,Español,1s:abbalintu;2s:abbalintas;3s:abbalinta;1p:abbalintamu;2p:abbalintati;3p:abbalintanu;1s_pass:abbalintai;2s_pass:abbalintasti;3s_pass:abbalintau;1p_pass:abbalintàmuru;2p_pass:abbalintàstivu;3p_pass:abbalintàranu,OK
abballari,Verbo,bailar,Español,1s:abballu;2s:abballas;3s:abballa;1p:abballamu;2p:abballati;3p:abballanu;1s_pass:abballai;2s_pass:abballasti;3s_pass:abballau;1p_pass:abballàmuru;2p_pass:abballàstivu;3p_pass:abballàranu,OK
abbampari,Verbo,arder,Español,1s:abbampu;2s:abbampas;3s:abbampa;1p:abbampamu;2p:abbampati;3p:abbampanu;1s_pass:abbampai;2s_pass:abbampasti;3s_pass:abbampau;1p_pass:abbampàmuru;2p_pass:abbampàstivu;3p_pass:abbampàranu,OK
abbanniari,Verbo,"hacer un anuncio con voz alta para vender la mercancía, anunciar, proclamar, gridar públicamente algo",Español,1s:abbanniu;2s:abbannias;3s:abbannia;1p:abbanniamu;2p:abbanniati;3p:abbannianu;1s_pass:abbanniai;2s_pass:abbanniasti;3s_pass:abbanniau;1p_pass:abbanniàmuru;2p_pass:abbanniàstivu;3p_pass:abbanniàranu,OK
abbannuliari,Verbo,"decir, hacer saber, difundir",Español,1s:abbannuliu;2s:abbannulias;3s:abbannulia;1p:abbannuliamu;2p:abbannuliati;3p:abbannulianu;1s_pass:abbannuliai;2s_pass:abbannuliasti;3s_pass:abbannuliau;1p_pass:abbannuliàmuru;2p_pass:abbannuliàstivu;3p_pass:abbannuliàranu,OK
abbannunari,Verbo,abandonar,Español,1s:abbannunu;2s:abbannunas;3s:abbannuna;1p:abbannunamu;2p:abbannunati;3p:abbannunanu;1s_pass:abbannunai;2s_pass:abbannunasti;3s_pass:abbannunau;1p_pass:abbannunàmuru;2p_pass:abbannunàstivu;3p_pass:abbannunàranu,OK
abbantari,Verbo,jactar,Español,1s:abbantu;2s:abbantas;3s:abbanta;1p:abbantamu;2p:abbantati;3p:abbantanu;1s_pass:abbantai;2s_pass:abbantasti;3s_pass:abbantau;1p_pass:abbantàmuru;2p_pass:abbantàstivu;3p_pass:abbantàranu,OK
abbarari,Verbo,"dar atención a, tener cuidado con, tener atención con",Español,1s:abbaru;2s:abbaras;3s:abbara;1p:abbaramu;2p:abbarati;3p:abbaranu;1s_pass:abbarai;2s_pass:abbarasti;3s_pass:abbarau;1p_pass:abbaràmuru;2p_pass:abbaràstivu;3p_pass:abbaràranu,OK
abbasari,Verbo,"1. basar, fundar, 2. concordar, cuadrar",Español,1s:abbasu;2s:abbasas;3s:abbasa;1p:abbasamu;2p:abbasati;3p:abbasanu;1s_pass:abbasai;2s_pass:abbasasti;3s_pass:abbasau;1p_pass:abbasàmuru;2p_pass:abbasàstivu;3p_pass:abbasàranu,OK
abbaschiari,Verbo,agitarse,Español,1s:abbaschiu;2s:abbaschias;3s:abbaschia;1p:abbaschiamu;2p:abbaschiati;3p:abbaschianu;1s_pass:abbaschiai;2s_pass:abbaschiasti;3s_pass:abbaschiau;1p_pass:abbaschiàmuru;2p_pass:abbaschiàstivu;3p_pass:abbaschiàranu,OK
abbasciari,Verbo,bajar,Español,1s:abbasciu;2s:abbascias;3s:abbascia;1p:abbasciamu;2p:abbasciati;3p:abbascianu;1s_pass:abbasciai;2s_pass:abbasciasti;3s_pass:abbasciau;1p_pass:abbasciàmuru;2p_pass:abbasciàstivu;3p_pass:abbasciàranu,OK
abbasiliscari,Verbo,mirar boquiabierto,Español,1s:abbasiliscu;2s:abbasiliscas;3s:abbasilisca;1p:abbasiliscamu;2p:abbasiliscati;3p:abbasiliscanu;1s_pass:abbasiliscai;2s_pass:abbasiliscasti;3s_pass:abbasiliscau;1p_pass:abbasiliscàmuru;2p_pass:abbasiliscàstivu;3p_pass:abbasiliscàranu,OK
abbassari,Verbo,bajar,Español,1s:abbassu;2s:abbassas;3s:abbassa;1p:abbassamu;2p:abbassati;3p:abbassanu;1s_pass:abbassai;2s_pass:abbassasti;3s_pass:abbassau;1p_pass:abbassàmuru;2p_pass:abbassàstivu;3p_pass:abbassàranu,OK
abbastari,Verbo,"bastar, ser suficiente",Español,1s:abbastu;2s:abbastas;3s:abbasta;1p:abbastamu;2p:abbastati;3p:abbastanu;1s_pass:abbastai;2s_pass:abbastasti;3s_pass:abbastau;1p_pass:abbastàmuru;2p_pass:abbastàstivu;3p_pass:abbastàranu,OK
abbastasari,Verbo,volverse grosero,Español,1s:abbastasu;2s:abbastasas;3s:abbastasa;1p:abbastasamu;2p:abbastasati;3p:abbastasanu;1s_pass:abbastasai;2s_pass:abbastasasti;3s_pass:abbastasau;1p_pass:abbastasàmuru;2p_pass:abbastasàstivu;3p_pass:abbastasàranu,OK
abbianchiari,Verbo,"1. blanquear, emblanquecer, 2. envejecer",Español,1s:abbianchiu;2s:abbianchias;3s:abbianchia;1p:abbianchiamu;2p:abbianchiati;3p:abbianchianu;1s_pass:abbianchiai;2s_pass:abbianchiasti;3s_pass:abbianchiau;1p_pass:abbianchiàmuru;2p_pass:abbianchiàstivu;3p_pass:abbianchiàranu,OK
abbiari,Verbo,"1. dirigir, conducir, 2. conducir y vigilar el ganado, 3. tirar, lanzar",Español,1s:abbiu;2s:abbias;3s:abbia;1p:abbiamu;2p:abbiati;3p:abbianu;1s_pass:abbiai;2s_pass:abbiasti;3s_pass:abbiau;1p_pass:abbiàmuru;2p_pass:abbiàstivu;3p_pass:abbiàranu,OK
abbicinari,Verbo,acercar,Español,1s:abbicinu;2s:abbicinas;3s:abbicina;1p:abbicinamu;2p:abbicinati;3p:abbicinanu;1s_pass:abbicinai;2s_pass:abbicinasti;3s_pass:abbicinau;1p_pass:abbicinàmuru;2p_pass:abbicinàstivu;3p_pass:abbicinàranu,OK
abbiddanari,Verbo,"prendere modi da viddanu, assumere modi da viddanu",Italiano,1s:abbiddanu;2s:abbiddanas;3s:abbiddana;1p:abbiddanamu;2p:abbiddanati;3p:abbiddananu;1s_pass:abbiddanai;2s_pass:abbiddanasti;3s_pass:abbiddanau;1p_pass:abbiddanàmuru;2p_pass:abbiddanàstivu;3p_pass:abbiddanàranu,OK
abbilanzari,Verbo,"equilibrar, contrabalancear",Español,1s:abbilanzu;2s:abbilanzas;3s:abbilanza;1p:abbilanzamu;2p:abbilanzati;3p:abbilanzanu;1s_pass:abbilanzai;2s_pass:abbilanzasti;3s_pass:abbilanzau;1p_pass:abbilanzàmuru;2p_pass:abbilanzàstivu;3p_pass:abbilanzàranu,OK
abbilari,Verbo,balar,Español,1s:abbilu;2s:abbilas;3s:abbila;1p:abbilamu;2p:abbilati;3p:abbilanu;1s_pass:abbilai;2s_pass:abbilasti;3s_pass:abbilau;1p_pass:abbilàmuru;2p_pass:abbilàstivu;3p_pass:abbilàranu,OK
abbiliari,Verbo,lamentar (por algo),Español,1s:abbiliu;2s:abbilias;3s:abbilia;1p:abbiliamu;2p:abbiliati;3p:abbilianu;1s_pass:abbiliai;2s_pass:abbiliasti;3s_pass:abbiliau;1p_pass:abbiliàmuru;2p_pass:abbiliàstivu;3p_pass:abbiliàranu,OK
abbilinari,Verbo,"envenenar, emponzoñar",Español,1s:abbilinu;2s:abbilinas;3s:abbilina;1p:abbilinamu;2p:abbilinati;3p:abbilinanu;1s_pass:abbilinai;2s_pass:abbilinasti;3s_pass:abbilinau;1p_pass:abbilinàmuru;2p_pass:abbilinàstivu;3p_pass:abbilinàranu,OK
abbiliri,Verbo,"degradar, desanimar",Español,1s:abbilu;2s:abbili;3s:abbili;1p:abbilimu;2p:abbiliti;3p:abbilinu;1s_pass:abbilii;2s_pass:abbilisti;3s_pass:abbilìu;1p_pass:abbilìmuru;2p_pass:abbilìstivu;3p_pass:abbilìranu,OK
abbiniri,Verbo,ocurrir,Español,1s:abbinu;2s:abbini;3s:abbini;1p:abbinimu;2p:abbiniti;3p:abbininu;1s_pass:abbinii;2s_pass:abbinisti;3s_pass:abbinìu;1p_pass:abbinìmuru;2p_pass:abbinìstivu;3p_pass:abbinìranu,OK
abbintari,Verbo,"tranquilizarse, encalmarse",Español,1s:abbintu;2s:abbintas;3s:abbinta;1p:abbintamu;2p:abbintati;3p:abbintanu;1s_pass:abbintai;2s_pass:abbintasti;3s_pass:abbintau;1p_pass:abbintàmuru;2p_pass:abbintàstivu;3p_pass:abbintàranu,OK
abbirsari,Verbo,"ordenar, arreglar",Español,1s:abbirsu;2s:abbirsas;3s:abbirsa;1p:abbirsamu;2p:abbirsati;3p:abbirsanu;1s_pass:abbirsai;2s_pass:abbirsasti;3s_pass:abbirsau;1p_pass:abbirsàmuru;2p_pass:abbirsàstivu;3p_pass:abbirsàranu,OK
abbisari,Verbo,"1. avisar, 2. adivinar",Español,1s:abbisu;2s:abbisas;3s:abbisa;1p:abbisamu;2p:abbisati;3p:abbisanu;1s_pass:abbisai;2s_pass:abbisasti;3s_pass:abbisau;1p_pass:abbisàmuru;2p_pass:abbisàstivu;3p_pass:abbisàranu,OK
abbisicchiari,Verbo,desecar,Español,1s:abbisicchiu;2s:abbisicchias;3s:abbisicchia;1p:abbisicchiamu;2p:abbisicchiati;3p:abbisicchianu;1s_pass:abbisicchiai;2s_pass:abbisicchiasti;3s_pass:abbisicchiau;1p_pass:abbisicchiàmuru;2p_pass:abbisicchiàstivu;3p_pass:abbisicchiàranu,OK
abbisugnari,Verbo,necesitar,Español,1s:abbisugnu;2s:abbisugnas;3s:abbisugna;1p:abbisugnamu;2p:abbisugnati;3p:abbisugnanu;1s_pass:abbisugnai;2s_pass:abbisugnasti;3s_pass:abbisugnau;1p_pass:abbisugnàmuru;2p_pass:abbisugnàstivu;3p_pass:abbisugnàranu,OK
abbiulari,Verbo,caminar por los senderos,Español,1s:abbiulu;2s:abbiulas;3s:abbiula;1p:abbiulamu;2p:abbiulati;3p:abbiulanu;1s_pass:abbiulai;2s_pass:abbiulasti;3s_pass:abbiulau;1p_pass:abbiulàmuru;2p_pass:abbiulàstivu;3p_pass:abbiulàranu,OK
abbiunniari,Verbo,"volverse rubio, volver rubio",Español,1s:abbiunniu;2s:abbiunnias;3s:abbiunnia;1p:abbiunniamu;2p:abbiunniati;3p:abbiunnianu;1s_pass:abbiunniai;2s_pass:abbiunniasti;3s_pass:abbiunniau;1p_pass:abbiunniàmuru;2p_pass:abbiunniàstivu;3p_pass:abbiunniàranu,OK
abbivirari,Verbo,abrevar,Español,1s:abbiviru;2s:abbiviras;3s:abbivira;1p:abbiviramu;2p:abbivirati;3p:abbiviranu;1s_pass:abbivirai;2s_pass:abbivirasti;3s_pass:abbivirau;1p_pass:abbiviràmuru;2p_pass:abbiviràstivu;3p_pass:abbiviràranu,OK
abbizzari,Verbo,equilibrare il peso sul dosso dei somieri,Italiano,1s:abbizzu;2s:abbizzas;3s:abbizza;1p:abbizzamu;2p:abbizzati;3p:abbizzanu;1s_pass:abbizzai;2s_pass:abbizzasti;3s_pass:abbizzau;1p_pass:abbizzàmuru;2p_pass:abbizzàstivu;3p_pass:abbizzàranu,OK
abbraari,Verbo,"1. strillare, 2. diventare rauco per aver parlato o gridato troppo",Italiano,1s:abbrau;2s:abbraas;3s:abbraa;1p:abbraamu;2p:abbraati;3p:abbraanu;1s_pass:abbraai;2s_pass:abbraasti;3s_pass:abbraau;1p_pass:abbraàmuru;2p_pass:abbraàstivu;3p_pass:abbraàranu,OK
abbraciari,Verbo,"freír, sofreír",Español,1s:abbraciu;2s:abbracias;3s:abbracia;1p:abbraciamu;2p:abbraciati;3p:abbracianu;1s_pass:abbraciai;2s_pass:abbraciasti;3s_pass:abbraciau;1p_pass:abbraciàmuru;2p_pass:abbraciàstivu;3p_pass:abbraciàranu,OK
abbramari,Verbo,"1. mugir, 2. desear mucho",Español,1s:abbramu;2s:abbramas;3s:abbrama;1p:abbramamu;2p:abbramati;3p:abbramanu;1s_pass:abbramai;2s_pass:abbramasti;3s_pass:abbramau;1p_pass:abbramàmuru;2p_pass:abbramàstivu;3p_pass:abbramàranu,OK
abbrazzari,Verbo,abrazar,Español,1s:abbrazzu;2s:abbrazzas;3s:abbrazza;1p:abbrazzamu;2p:abbrazzati;3p:abbrazzanu;1s_pass:abbrazzai;2s_pass:abbrazzasti;3s_pass:abbrazzau;1p_pass:abbrazzàmuru;2p_pass:abbrazzàstivu;3p_pass:abbrazzàranu,OK
abbrigliari,Verbo,prendere uccelli,Italiano,1s:abbrigliu;2s:abbriglias;3s:abbriglia;1p:abbrigliamu;2p:abbrigliati;3p:abbriglianu;1s_pass:abbrigliai;2s_pass:abbrigliasti;3s_pass:abbrigliau;1p_pass:abbrigliàmuru;2p_pass:abbrigliàstivu;3p_pass:abbrigliàranu,OK
abbriscari,Verbo,vaciar los panales sacando el miel,Español,1s:abbriscu;2s:abbriscas;3s:abbrisca;1p:abbriscamu;2p:abbriscati;3p:abbriscanu;1s_pass:abbriscai;2s_pass:abbriscasti;3s_pass:abbriscau;1p_pass:abbriscàmuru;2p_pass:abbriscàstivu;3p_pass:abbriscàranu,OK
abbrivirari,Verbo,abrevar,Español,1s:abbriviru;2s:abbriviras;3s:abbrivira;1p:abbriviramu;2p:abbrivirati;3p:abbriviranu;1s_pass:abbrivirai;2s_pass:abbrivirasti;3s_pass:abbrivirau;1p_pass:abbriviràmuru;2p_pass:abbriviràstivu;3p_pass:abbriviràranu,OK
abbrivìsciri,Verbo,"1. amanecer, 2. volver a vivir, resucitar (usado con este significado en la zona de Catania)",Español,1s:abbrivìscu;2s:abbrivìsci;3s:abbrivìsci;1p:abbrivìscimu;2p:abbrivìsciti;3p:abbrivìscinu;1s_pass:abbrivìscii;2s_pass:abbrivìscisti;3s_pass:abbrivìscìu;1p_pass:abbrivìscìmuru;2p_pass:abbrivìscìstivu;3p_pass:abbrivìscìranu,OK
abbruciari,Verbo,"quemar, arder",Español,1s:abbruciu;2s:abbrucias;3s:abbrucia;1p:abbruciamu;2p:abbruciati;3p:abbrucianu;1s_pass:abbruciai;2s_pass:abbruciasti;3s_pass:abbruciau;1p_pass:abbruciàmuru;2p_pass:abbruciàstivu;3p_pass:abbruciàranu,OK
abbrunzari,Verbo,broncear,Español,1s:abbrunzu;2s:abbrunzas;3s:abbrunza;1p:abbrunzamu;2p:abbrunzati;3p:abbrunzanu;1s_pass:abbrunzai;2s_pass:abbrunzasti;3s_pass:abbrunzau;1p_pass:abbrunzàmuru;2p_pass:abbrunzàstivu;3p_pass:abbrunzàranu,OK
abbruscari,Verbo,quemar superficialmente,Español,1s:abbruscu;2s:abbruscas;3s:abbrusca;1p:abbruscamu;2p:abbruscati;3p:abbruscanu;1s_pass:abbruscai;2s_pass:abbruscasti;3s_pass:abbruscau;1p_pass:abbruscàmuru;2p_pass:abbruscàstivu;3p_pass:abbruscàranu,OK
abbrusciari,Verbo,"quemar, arder",Español,1s:abbrusciu;2s:abbruscias;3s:abbruscia;1p:abbrusciamu;2p:abbrusciati;3p:abbruscianu;1s_pass:abbrusciai;2s_pass:abbrusciasti;3s_pass:abbrusciau;1p_pass:abbrusciàmuru;2p_pass:abbrusciàstivu;3p_pass:abbrusciàranu,OK
abbrìsciri,Verbo,amanecer,Español,1s:abbrìscu;2s:abbrìsci;3s:abbrìsci;1p:abbrìscimu;2p:abbrìsciti;3p:abbrìscinu;1s_pass:abbrìscii;2s_pass:abbrìscisti;3s_pass:abbrìscìu;1p_pass:abbrìscìmuru;2p_pass:abbrìscìstivu;3p_pass:abbrìscìranu,OK
abbuccari,Verbo,"1. derramar, 2. derribar",Español,1s:abbuccu;2s:abbuccas;3s:abbucca;1p:abbuccamu;2p:abbuccati;3p:abbuccanu;1s_pass:abbuccai;2s_pass:abbuccasti;3s_pass:abbuccau;1p_pass:abbuccàmuru;2p_pass:abbuccàstivu;3p_pass:abbuccàranu,OK
abbuddari,Verbo,"1. remojar, sumergir, mojar, 2. hundirse en el agua, 3. golpear, marcar",Español,1s:abbuddu;2s:abbuddas;3s:abbudda;1p:abbuddamu;2p:abbuddati;3p:abbuddanu;1s_pass:abbuddai;2s_pass:abbuddasti;3s_pass:abbuddau;1p_pass:abbuddàmuru;2p_pass:abbuddàstivu;3p_pass:abbuddàranu,OK
abbuffari,Verbo,"gonfiare, far gonfiare, rimpinzare, far mangiare fino alla nausea / gonfiare, di solito per malattia",Italiano,1s:abbuffu;2s:abbuffas;3s:abbuffa;1p:abbuffamu;2p:abbuffati;3p:abbuffanu;1s_pass:abbuffai;2s_pass:abbuffasti;3s_pass:abbuffau;1p_pass:abbuffàmuru;2p_pass:abbuffàstivu;3p_pass:abbuffàranu,OK
abbulari,Verbo,volar,Español,1s:abbulu;2s:abbulas;3s:abbula;1p:abbulamu;2p:abbulati;3p:abbulanu;1s_pass:abbulai;2s_pass:abbulasti;3s_pass:abbulau;1p_pass:abbulàmuru;2p_pass:abbulàstivu;3p_pass:abbulàranu,OK
abbuliri,Verbo,abolir,Español,1s:abbulu;2s:abbuli;3s:abbuli;1p:abbulimu;2p:abbuliti;3p:abbulinu;1s_pass:abbulii;2s_pass:abbulisti;3s_pass:abbulìu;1p_pass:abbulìmuru;2p_pass:abbulìstivu;3p_pass:abbulìranu,OK
abbullari,Verbo,"1. sellar, timbrar; marcar, 2. tocar con precisión, dar",Español,1s:abbullu;2s:abbullas;3s:abbulla;1p:abbullamu;2p:abbullati;3p:abbullanu;1s_pass:abbullai;2s_pass:abbullasti;3s_pass:abbullau;1p_pass:abbullàmuru;2p_pass:abbullàstivu;3p_pass:abbullàranu,OK
abbunari,Verbo,abonar,Español,1s:abbunu;2s:abbunas;3s:abbuna;1p:abbunamu;2p:abbunati;3p:abbunanu;1s_pass:abbunai;2s_pass:abbunasti;3s_pass:abbunau;1p_pass:abbunàmuru;2p_pass:abbunàstivu;3p_pass:abbunàranu,OK
abburgiari,Verbo,abbicare,Italiano,1s:abburgiu;2s:abburgias;3s:abburgia;1p:abburgiamu;2p:abburgiati;3p:abburgianu;1s_pass:abburgiai;2s_pass:abburgiasti;3s_pass:abburgiau;1p_pass:abburgiàmuru;2p_pass:abburgiàstivu;3p_pass:abburgiàranu,OK
abbusari,Verbo,abusar,Español,1s:abbusu;2s:abbusas;3s:abbusa;1p:abbusamu;2p:abbusati;3p:abbusanu;1s_pass:abbusai;2s_pass:abbusasti;3s_pass:abbusau;1p_pass:abbusàmuru;2p_pass:abbusàstivu;3p_pass:abbusàranu,OK
abbuscari,Verbo,"conseguir, obtener",Español,1s:abbuscu;2s:abbuscas;3s:abbusca;1p:abbuscamu;2p:abbuscati;3p:abbuscanu;1s_pass:abbuscai;2s_pass:abbuscasti;3s_pass:abbuscau;1p_pass:abbuscàmuru;2p_pass:abbuscàstivu;3p_pass:abbuscàranu,OK
abbuttari,Verbo,"1. hinchar, 2. saciar, 3. estar exasperado",Español,1s:abbuttu;2s:abbuttas;3s:abbutta;1p:abbuttamu;2p:abbuttati;3p:abbuttanu;1s_pass:abbuttai;2s_pass:abbuttasti;3s_pass:abbuttau;1p_pass:abbuttàmuru;2p_pass:abbuttàstivu;3p_pass:abbuttàranu,OK
abbuzzari,Verbo,"1. ingozzare un'ingiuria, ingoiare un'ingiuria (sopportare un'ingiuria), 2. ammaccare",Italiano,1s:abbuzzu;2s:abbuzzas;3s:abbuzza;1p:abbuzzamu;2p:abbuzzati;3p:abbuzzanu;1s_pass:abbuzzai;2s_pass:abbuzzasti;3s_pass:abbuzzau;1p_pass:abbuzzàmuru;2p_pass:abbuzzàstivu;3p_pass:abbuzzàranu,OK
abbàttiri,Verbo,abatir,Español,1s:abbàttu;2s:abbàtti;3s:abbàtti;1p:abbàttimu;2p:abbàttiti;3p:abbàttinu;1s_pass:abbàttii;2s_pass:abbàttisti;3s_pass:abbàttìu;1p_pass:abbàttìmuru;2p_pass:abbàttìstivu;3p_pass:abbàttìranu,OK
abbèniri,Verbo,ocurrir /,Español,1s:abbènu;2s:abbèni;3s:abbèni;1p:abbènimu;2p:abbèniti;3p:abbèninu;1s_pass:abbènii;2s_pass:abbènisti;3s_pass:abbènìu;1p_pass:abbènìmuru;2p_pass:abbènìstivu;3p_pass:abbènìranu,OK
abuliri,Verbo,abolir,Español,1s:abulu;2s:abuli;3s:abuli;1p:abulimu;2p:abuliti;3p:abulinu;1s_pass:abulii;2s_pass:abulisti;3s_pass:abulìu;1p_pass:abulìmuru;2p_pass:abulìstivu;3p_pass:abulìranu,OK
abusari,Verbo,abusar,Español,1s:abusu;2s:abusas;3s:abusa;1p:abusamu;2p:abusati;3p:abusanu;1s_pass:abusai;2s_pass:abusasti;3s_pass:abusau;1p_pass:abusàmuru;2p_pass:abusàstivu;3p_pass:abusàranu,OK
accabbari,Verbo,"finire, terminare / spiovere",Italiano,1s:accabbu;2s:accabbas;3s:accabba;1p:accabbamu;2p:accabbati;3p:accabbanu;1s_pass:accabbai;2s_pass:accabbasti;3s_pass:accabbau;1p_pass:accabbàmuru;2p_pass:accabbàstivu;3p_pass:accabbàranu,OK
