Palabra,Categoria,Traduccion,Idioma,Conjugaciones,Estado
assenzia,Sustantivo,ausencia,Español,,OK
assenziu,Sustantivo,absenta (Artemisia absinthium),Español,,OK
assicurazioni,Sustantivo,seguro (contracto),Español,,OK
assicurazzioni,Sustantivo,seguro (contracto),Español,,OK
assumbru,Sustantivo,"miedo, horror",Español,,OK
assùmmuru,Sustantivo,miedo,Español,,OK
astronumìa,Sustantivo,astronomía,Español,,OK
asturianu,Sustantivo,asturiano  / idioma asturiano,Español,,OK
asèrcitu,Sustantivo,ejército,Español,,OK
atta,Sustantivo,gata,Español,,OK
attareddu,Sustantivo,gatito (cría de gato),Español,,OK
attitùdini,Sustantivo,actitud,Español,,OK
attitùtini,Sustantivo,actitud,Español,,OK
attrassu,Sustantivo,"retraso, demora",Español,,OK
attravirsata,Sustantivo,acción de cruzar,Español,,OK
attrici,Sustantivo,actriz,Español,,OK
attrivimentu,Sustantivo,"atrevimiento, audacia",Español,,OK
attuppateddu,Sustantivo,caracol en letargo y tapado (Cantareus apertus),Español,,OK
atturi,Sustantivo,actor,Español,,OK
attuvru,Sustantivo,octubre / octobre,Español,,OK
attùvaru,Sustantivo,octubre / octobre,Español,,OK
attùviru,Sustantivo,octubre / octobre,Español,,OK
auccisagghia,Sustantivo,"matanza, masacre",Español,,OK
auggi,Sustantivo,tipo de cuenca,Español,,OK
augi,Sustantivo,tipo de cuenca,Español,,OK
auguriu,Sustantivo,"augurio, deseo, esperanza",Español,,OK
aulivi,Sustantivo,"olivas, aceitunas",Español,,OK
aumidda,Sustantivo,"camomila, manzanilla",Español,,OK
auricchia,Sustantivo,oreja,Español,,OK
auriu,Sustantivo,"augurio, deseo, esperanza",Español,,OK
austrìacu,Sustantivo,austriaco  / dialecto austriaco,Español,,OK
autizza,Sustantivo,altura,Español,,OK
autostrata,Sustantivo,autopista,Español,,OK
autunnu,Sustantivo,otoño,Español,,OK
auturi,Sustantivo,autor,Español,,OK
autustrata,Sustantivo,autopista,Español,,OK
avar,Sustantivo,idioma avar,Español,,OK
avirsariu,Sustantivo,adversario,Español,,OK
avirseriu,Sustantivo,diablo,Español,,OK
avoliu,Sustantivo,marfil,Español,,OK
avoriu,Sustantivo,marfil,Español,,OK
avrignuolu,Sustantivo,"1. endrino (prunus spinosa), 2. fruto del endrino",Español,,OK
avuturu,Sustantivo,buitre,Español,,OK
avvirsariu,Sustantivo,adversario,Español,,OK
avvucatu,Sustantivo,abogado,Español,,OK
avèsticu,Sustantivo,idioma avéstico,Español,,OK
awadhi,Sustantivo,idioma awadhi,Español,,OK
aymara,Sustantivo,idioma aymara,Español,,OK
azotu,Sustantivo,nitrógeno,Español,,OK
azzaccagnatu,Sustantivo,"1. enfermizo, flojo, 2. maltratado, 3. estropeado (vino), 4. apuñalado, acuchillado",Español,,OK
azzardu,Sustantivo,casualidad,Español,,OK
azzeru,Sustantivo,"azerí, azerbaiyano / idioma azerí, idioma azerbaiyano",Español,,OK
azzotu,Sustantivo,nitrógeno,Español,,OK
baarisi,Sustantivo,habitante o nativo de Bagheria / dialecto de Bagheria,Español,,OK
baascia,Sustantivo,puta,Español,,OK
baballonia,Sustantivo,"jaleo, estrépito",Español,,OK
babbalaci,Sustantivo,caracol,Español,,OK
babballonia,Sustantivo,"jaleo, estrépito",Español,,OK
babbanarìa,Sustantivo,tontería,Español,,OK
babbanu,Sustantivo,tonto,Español,,OK
babbarìa,Sustantivo,tontería,Español,,OK
babbasuni,Sustantivo,tonto,Español,,OK
babbillonia,Sustantivo,"jaleo, estrépito",Español,,OK
babbilonia,Sustantivo,"jaleo, estrépito",Español,,OK
babbu,Sustantivo,"tonto, estúpido / hombre tonto, hombre estúpido",Español,,OK
babbuinu,Sustantivo,babuino,Español,,OK
babillonia,Sustantivo,"jaleo, estrépito",Español,,OK
babilonia,Sustantivo,"jaleo, estrépito",Español,,OK
bacilicò,Sustantivo,albahaca,Español,,OK
badagghiu,Sustantivo,bostezo,Español,,OK
badda,Sustantivo,pelota,Español,,OK
badduni,Sustantivo,pelota,Español,,OK
baddòttula,Sustantivo,pelota pequeña / comadreja (Mustela nivalis),Español,,OK
baffu,Sustantivo,bigote,Español,,OK
bagagghiu,Sustantivo,"equipaje, maleta|maletas",Español,,OK
bagagliu,Sustantivo,"equipaje, maleta|maletas",Español,,OK
bagana,Sustantivo,palangana,Español,,OK
baganu,Sustantivo,palangana,Español,,OK
bagarisi,Sustantivo,habitante o nativo de Bagheria / dialecto de Bagheria,Español,,OK
bagascia,Sustantivo,puta,Español,,OK
bagnanti,Sustantivo,bañista,Español,,OK
bagninu,Sustantivo,"monitor de natación, salvavidas, socorrista",Español,,OK
baiardu,Sustantivo,ataúd,Español,,OK
baiascia,Sustantivo,puta,Español,,OK
bajardu,Sustantivo,ataúd,Español,,OK
bajascia,Sustantivo,puta,Español,,OK
balafria,Sustantivo,herida en la cara,Español,,OK
balanza,Sustantivo,balanza,Español,,OK
balataru,Sustantivo,paladar,Español,,OK
balena,Sustantivo,ballena,Español,,OK
balinisi,Sustantivo,balinés / idioma balinés,Español,,OK
balistruzzu,Sustantivo,avión común (Delichon urbica),Español,,OK
balluni,Sustantivo,pelota,Español,,OK
baluci,Sustantivo,idioma baluchi,Español,,OK
bambara,Sustantivo,idioma bambara,Español,,OK
bammaci,Sustantivo,"guata de algodón, algodón",Español,,OK
bammacia,Sustantivo,"guata de algodón, algodón",Español,,OK
bancunata,Sustantivo,fila de personas sentadas en un banco,Español,,OK
banda,Sustantivo,idioma banda,Español,,OK
banna,Sustantivo,"lado, parte",Español,,OK
bannu,Sustantivo,"anuncio, noticia",Español,,OK
baracòculu,Sustantivo,albaricoque,Español,,OK
baragghiu,Sustantivo,bostezo,Español,,OK
barbuttizzu,Sustantivo,"galimatías, guirigay",Español,,OK
barbuttìu,Sustantivo,"galimatías, guirigay",Español,,OK
barbòttula,Sustantivo,avión común (Delichon urbica),Español,,OK
bardascia,Sustantivo,homosexual joven que se prostituye,Español,,OK
barrancu,Sustantivo,"barranco, precipicio",Español,,OK
barri,Sustantivo,bar,Español,,OK
baràttula,Sustantivo,lata (recipiente),Español,,OK
baràttulu,Sustantivo,lata (recipiente),Español,,OK
bascu,Sustantivo,vasco / idioma vasco,Español,,OK
basi,Sustantivo,base,Español,,OK
basilicò,Sustantivo,albahaca,Español,,OK
bastaddu,Sustantivo,bastardo,Español,,OK
bastardu,Sustantivo,bastardo,Español,,OK
bastuni,Sustantivo,"bastón, palo",Español,,OK
basìlica,Sustantivo,basílica,Español,,OK
battagghia,Sustantivo,batalla,Español,,OK
battaglia,Sustantivo,batalla,Español,,OK
battarìa,Sustantivo,gran ruido,Español,,OK
battellu,Sustantivo,"barco, nave",Español,,OK
battilingua,Sustantivo,"speronella (spronella: rotella dello sperone, munita di punte)",Italiano,,OK
battizzu,Sustantivo,"bautizo, bautismo",Español,,OK
battìu,Sustantivo,"bautizo, bautismo",Español,,OK
bava,Sustantivo,"saliva, baba",Español,,OK
bavanu,Sustantivo,palangana,Español,,OK
bazzariotu,Sustantivo,trapero,Español,,OK
baškiru,Sustantivo,baskir / idioma baskir,Español,,OK
bbidienti,Sustantivo,obediente,Español,,OK
becchi,Sustantivo,machos cabríos,Español,,OK
beja,Sustantivo,idioma beja,Español,,OK
bemba,Sustantivo,idioma bemba,Español,,OK
berbina,Sustantivo,hierba luisa (Verbena officinalis),Español,,OK
berilliu,Sustantivo,berilio,Español,,OK
bhojpuri,Sustantivo,idioma bhojpuri,Español,,OK
bhutanisi,Sustantivo,butanés / idioma butanés,Español,,OK
biancuzzu,Sustantivo,"fase che precede il ""putrigghiuni""",Italiano,,OK
bibblioteca,Sustantivo,biblioteca,Español,,OK
biccaccia,Sustantivo,becada (ave),Español,,OK
biccacciu,Sustantivo,becada (ave),Español,,OK
biccheri,Sustantivo,vaso,Español,,OK
bicchieri,Sustantivo,vaso,Español,,OK
bicichetta,Sustantivo,bicicleta,Español,,OK
bicicretta,Sustantivo,bicicleta,Español,,OK
bicigretta,Sustantivo,bicicleta,Español,,OK
biddicu,Sustantivo,ombligo,Español,,OK
biddizza,Sustantivo,"belleza, beldad",Español,,OK
biddòttula,Sustantivo,comadreja (Mustela nivalis),Español,,OK
bielorussu,Sustantivo,bielorruso / idioma bielorruso,Español,,OK
bihari,Sustantivo,idioma bihari,Español,,OK
bikol,Sustantivo,idioma bikol,Español,,OK
bikya,Sustantivo,idioma bikya,Español,,OK
bilanza,Sustantivo,balanza,Español,,OK
biletta,Sustantivo,acelga,Español,,OK
biletti,Sustantivo,acelgas,Español,,OK
bilici,Sustantivo,maleta,Español,,OK
billàfii,Sustantivo,"comportamentos amanerados, comportamentos afectados, mimos",Español,,OK
bingalisi,Sustantivo,bengalés / idioma bengalés,Español,,OK
bini,Sustantivo,idioma bini,Español,,OK
binzina,Sustantivo,gasolina,Español,,OK
bioluggìa,Sustantivo,biología,Español,,OK
biolugìa,Sustantivo,biología,Español,,OK
birbina,Sustantivo,hierba luisa (Verbena officinalis),Español,,OK
birbinia,Sustantivo,hierba luisa (Verbena officinalis),Español,,OK
birduni,Sustantivo,fruto no maduro,Español,,OK
birgamascu,Sustantivo,bergamesco / dialecto bergamesco,Español,,OK
biricòcula,Sustantivo,albaricoque,Español,,OK
birilliu,Sustantivo,berilio,Español,,OK
birmanu,Sustantivo,birmano / idioma birmano,Español,,OK
birriola,Sustantivo,pequeño sombrero,Español,,OK
birritta,Sustantivo,"gorra, boina",Español,,OK
biruni,Sustantivo,brida,Español,,OK
biscigretta,Sustantivo,bicicleta,Español,,OK
biscottu,Sustantivo,bizcocho,Español,,OK
biscusitati,Sustantivo,"astucia, perspicacia",Español,,OK
bisicchia,Sustantivo,tierra trabajada una tercera vez,Español,,OK
bisicchiatu,Sustantivo,desecado,Español,,OK
bislama,Sustantivo,idioma bislama,Español,,OK
bistecca,Sustantivo,"bistec, bisté, biftec",Español,,OK
bistemia,Sustantivo,blasfemia,Español,,OK
biuluggìa,Sustantivo,biología,Español,,OK
biulugìa,Sustantivo,biología,Español,,OK
biveri,Sustantivo,vivero de peces,Español,,OK
biviruni,Sustantivo,"bebida, brebaje, pócima",Español,,OK
bizzuni,Sustantivo,melizo,Español,,OK
blackfoot,Sustantivo,idioma blackfoot,Español,,OK
blanduni,Sustantivo,cirio grande,Español,,OK
bletta,Sustantivo,acelga,Español,,OK
bo,Sustantivo,tipo de barquito grande,Español,,OK
boffa,Sustantivo,"1. golpe más o menos violento, 2. bofetada, torta",Español,,OK
bokmål,Sustantivo,noruego bokmål,Español,,OK
bommaci,Sustantivo,"guata de algodón, algodón",Español,,OK
bomprudi,Sustantivo,"provecho, beneficio",Español,,OK
bonsignuri,Sustantivo,monseñor,Español,,OK
bonzignuri,Sustantivo,monseñor,Español,,OK
borru,Sustantivo,borrador,Español,,OK
boru,Sustantivo,boro,Español,,OK
botta,Sustantivo,golpe,Español,,OK
braca,Sustantivo,"pantalón|pantalones, braga (bragas)",Español,,OK
braccialettu,Sustantivo,"pulsera, correa",Español,,OK
bracciulettu,Sustantivo,"pulsera, correa",Español,,OK
braci,Sustantivo,brasa,Español,,OK
bracia,Sustantivo,brasa,Español,,OK
branca,Sustantivo,rama,Español,,OK
branduni,Sustantivo,cirio grande,Español,,OK
brazzu,Sustantivo,brazo,Español,,OK
bricigretta,Sustantivo,bicicleta,Español,,OK
briciu,Sustantivo,viento periódico veraniego que sopla desde el Sur,Español,,OK
briduni,Sustantivo,brida,Español,,OK
brigghiu,Sustantivo,brío,Español,,OK
brignolu,Sustantivo,"1. endrino (prunus spinosa), 2. fruto del endrino",Español,,OK
brinzi,Sustantivo,teja,Español,,OK
briogna,Sustantivo,vergüenza,Español,,OK
brisca,Sustantivo,panal de miel,Español,,OK
briscianu,Sustantivo,bresciano / dialecto bresciano,Español,,OK
britta,Sustantivo,acelga,Español,,OK
brivettu,Sustantivo,diploma,Español,,OK
brivina,Sustantivo,hierba luisa (Verbena officinalis),Español,,OK
brocca,Sustantivo,jarra,Español,,OK
brodu,Sustantivo,caldo,Español,,OK
bromi,Sustantivo,"charla, cháchara / medusas",Español,,OK
bruccata,Sustantivo,"golpe de espuela, golpe",Español,,OK
bruccedda,Sustantivo,tridente,Español,,OK
bruccetta,Sustantivo,tenedor,Español,,OK
bruciola,Sustantivo,foruncoletto,Italiano,,OK
bruciolu,Sustantivo,foruncoletto,Italiano,,OK
brudarìa,Sustantivo,adulazione,Italiano,,OK
bruderi,Sustantivo,adulatore,Italiano,,OK
brunìa,Sustantivo,"florero de cristal, bote de cristal",Español,,OK
bruschettu,Sustantivo,pezzo di carne suina con poco lardo,Italiano,,OK
brètuni,Sustantivo,bretón / idioma bretón,Español,,OK
brìnchisi,Sustantivo,brindis,Español,,OK
brìndisi,Sustantivo,brindis,Español,,OK
brìnnisi,Sustantivo,brindis,Español,,OK
brìnnulu,Sustantivo,"fragmento, trozo",Español,,OK
brùccula,Sustantivo,hebilla,Español,,OK
brùciula,Sustantivo,foruncoletto,Italiano,,OK
brùffica,Sustantivo,"brufolo (bruffolo), foruncolo, pustola",Italiano,,OK
bua,Sustantivo,agua (en el lenguaje de los niños) / dolor (en el lenguaje de los niños),Español,,OK
bubbua,Sustantivo,dolor (en el lenguaje de los niños),Español,,OK
bucalaci,Sustantivo,caracol,Español,,OK
bucali,Sustantivo,bocal,Español,,OK
bucceri,Sustantivo,carnicero,Español,,OK
buccetta,Sustantivo,tenedor,Español,,OK
bucciardu,Sustantivo,mulo que tiene un morro ancho,Español,,OK
bucciddatu,Sustantivo,buccellato navideño siciliano (postre),Español,,OK
buccieri,Sustantivo,carnicero,Español,,OK
buccu,Sustantivo,casco (de un barco),Español,,OK
buccuzza,Sustantivo,boca pequeña,Español,,OK
buchè,Sustantivo,ramo (de flores),Español,,OK
buci,Sustantivo,"1. voz, 2. grito",Español,,OK
bucu,Sustantivo,hueco,Español,,OK
budda,Sustantivo,"1. burbuja, 2. pequeña vesícula",Español,,OK
buddaci,Sustantivo,tipo de perca (pez),Español,,OK
buddicu,Sustantivo,ombligo,Español,,OK
buddu,Sustantivo,sello,Español,,OK
budeddu,Sustantivo,tripa (entrañas),Español,,OK
budidduni,Sustantivo,médula,Español,,OK
buffa,Sustantivo,"1. sapo (animal anfibio), 2. mujer gorda",Español,,OK
buffazza,Sustantivo,"bofetada, torta",Español,,OK
buffetti,Sustantivo,mesas ocasionales,Español,,OK
buffi,Sustantivo,sapos (animales anfibios),Español,,OK
buffulutu,Sustantivo,uomo dalla faccia grossa e grassa,Italiano,,OK
bufuruna,Sustantivo,tortuga,Español,,OK
buggetta,Sustantivo,pequeñas alforjas,Español,,OK
buggiardu,Sustantivo,mentiroso,Español,,OK
buggietta,Sustantivo,pequeñas alforjas,Español,,OK
buggìa,Sustantivo,mentira,Español,,OK
bugiardu,Sustantivo,mentiroso,Español,,OK
bugìa,Sustantivo,mentira,Español,,OK
buiaruni,Sustantivo,sodomita,Español,,OK
