Palabra,Categoria,Traduccion,Idioma,Conjugaciones,Estado
pràtica,Articulo,práctica,Español,,OK
pâ,Articulo,para la,Español,,OK
pê,Articulo,para los / para las,Español,,OK
pî,Articulo,para los / para las,Español,,OK
pô,Articulo,para el,Español,,OK
pû,Articulo,para el,Español,,OK
quattòrdici,Articulo,catorce,Español,,OK
r'a,Articulo,"de la / desde la, por la",Español,,OK
r'e,Articulo,"de los / de las / desde los, por los / desde las, por las",Español,,OK
r'i,Articulo,"de los / de las / desde los, por los / desde las, por las",Español,,OK
r'o,Articulo,"del / desde el, por el",Español,,OK
r'u,Articulo,"del / desde el, por el",Español,,OK
r'â,Articulo,"de la / desde la, por la",Español,,OK
r'ê,Articulo,"de los / de las / desde los, por los / desde las, por las",Español,,OK
r'î,Articulo,"de los / de las / desde los, por los / desde las, por las",Español,,OK
r'ô,Articulo,"del / desde el, por el",Español,,OK
r'û,Articulo,"del / desde el, por el",Español,,OK
razzia,Articulo,gracia,Español,,OK
ri la,Articulo,"de la / desde la, por la",Español,,OK
ri li,Articulo,"de los / de las / desde los, por los / desde las, por las",Español,,OK
ri lu,Articulo,"del / desde el, por el",Español,,OK
râ,Articulo,"de la / desde la, por la",Español,,OK
rî,Articulo,"de los / de las / desde los, por los / desde las, por las",Español,,OK
rô,Articulo,"del / desde el, por el",Español,,OK
rû,Articulo,"del / desde el, por el",Español,,OK
sinònimu,Articulo,sinónimo,Español,,OK
tàula,Articulo,mesa,Español,,OK
tàvula,Articulo,mesa,Español,,OK
u,Articulo,el / lo,Español,,OK
um,Articulo,un,Español,,OK
una,Articulo,una,Español,,OK
zùccaru,Articulo,azúcar,Español,,OK
àbbitu,Articulo,ropa,Español,,OK
àbitu,Articulo,ropa,Español,,OK
àcula,Articulo,águila,Español,,OK
àsinu,Articulo,"burro, asno",Español,,OK
