Palabra,Sustantivo,Traduccion,Idioma,Conjugaciones,Estado
abbiggiaru,Sustantivo,ladrón de ganado,Español,,OK
abbilimentu,Sustantivo,"envilecimiento, degradación",Español,,OK
abbilitati,Sustantivo,habilidad,Español,,OK
abbilità,Sustantivo,habilidad,Español,,OK
abbirgaturi,Sustantivo,hotelero,Español,,OK
abbirintu,Sustantivo,laberinto,Español,,OK
abbissi,Sustantivo,abismos,Español,,OK
abbissu,Sustantivo,abismo,Español,,OK
abbitanti,Sustantivo,habitante,Español,,OK
abbitazioni,Sustantivo,vivienda,Español,,OK
abbitazzioni,Sustantivo,vivienda,Español,,OK
abbitùdini,Sustantivo,costumbre,Español,,OK
abbitùtini,Sustantivo,costumbre,Español,,OK
abbizzì,Sustantivo,abecé (alfabeto),Español,,OK
abbraciu,Sustantivo,orbace (tejido de lana),Español,,OK
abbramoria,Verbo,deseo intenso,Español,,OK
abbriviazioni,Sustantivo,abreviatura,Español,,OK
abbriviazzioni,Sustantivo,abreviatura ''f'',Español,,OK
abbruzzisi,Sustantivo,abruzés / dialecto abruzés,Español,,OK
abbuccuni,Sustantivo,bocado,Español,,OK
abbuluni,Sustantivo,"1. a voluntad, sin pagar, 2. mucho, en abundancia",Español,,OK
abbuluntà,Sustantivo,"a voluntad, sin pagar",Español,,OK
abbunnanza,Sustantivo,abundancia,Español,,OK
abbunnanzia,Sustantivo,abundancia,Español,,OK
abburata,Sustantivo,amanecer,Español,,OK
abburaturi,Sustantivo,obrero del cobre,Español,,OK
abburi,Sustantivo,"1. luminosidad, 2. amanecer",Español,,OK
abbusciu,Verbo,boj común (Buxus sempervirens),Español,,OK
abbusu,Sustantivo,abuso,Español,,OK
abcasu,Sustantivo,abjaso / idioma abjaso,Español,,OK
abeti,Sustantivo,abeto,Español,,OK
abilitati,Sustantivo,habilidad,Español,,OK
abilità,Sustantivo,habilidad,Español,,OK
abirintu,Sustantivo,laberinto,Español,,OK
abissi,Sustantivo,abismos,Español,,OK
abissu,Sustantivo,abismo,Español,,OK
abitanti,Sustantivo,habitante,Español,,OK
abitazioni,Sustantivo,vivienda,Español,,OK
abitazzioni,Sustantivo,vivienda,Español,,OK
abitùdini,Sustantivo,costumbre,Español,,OK
abitùtini,Sustantivo,costumbre,Español,,OK
abruzzisi,Sustantivo,abruzés / dialecto abruzés,Español,,OK
abusu,Sustantivo,abuso,Español,,OK
accademia,Sustantivo,academia,Español,,OK
accanìa,Sustantivo,hacanea,Español,,OK
accaremia,Sustantivo,academia,Español,,OK
accasioni,Sustantivo,"ocasión, oportunidad",Español,,OK
accatta caru e vinni mircatu,Conjunción/Adverbio,"Compra caro y vende barato. <small>''(Indica una persona que no sabe hacer negocios. Si jugaba en la bolsa, sería uno que compra acciones cuando están al valor máximo y las vende cuando están al valor mínimo.''</small>",Español,,OK
accentu,Sustantivo,acento,Español,,OK
accessu,Verbo,acceso,Español,,OK
accetta,Sustantivo,hachuela,Español,,OK
accettu,Sustantivo,ojal,Español,,OK
acchettu,Sustantivo,ojal,Español,,OK
acchi cosa,Sustantivo,algo,Español,,OK
acchiettu,Sustantivo,ojal,Español,,OK
accia,Sustantivo,"apio, raíz de apio",Español,,OK
acciaccu,Verbo,"1. complote, 2. estorbo, 3. invalidez, discapacidad",Español,,OK
acciaru,Sustantivo,acero,Español,,OK
acciettu,Sustantivo,ojal,Español,,OK
acciotta,Sustantivo,hachuela,Español,,OK
acciu,Sustantivo,apio,Español,,OK
accostu,Sustantivo,"al lado, al lado",Español,,OK
accuccuni,Sustantivo,(en) cuclillas,Español,,OK
accuddì,Verbo,"de esta manera, de esta forma",Español,,OK
accura,Sustantivo,cuidado!,Español,,OK
accussini,Verbo,"así, de esta forma",Español,,OK
accussì,Verbo,"así, de esta forma",Español,,OK
accàdicu,Sustantivo,"idioma acádico, idioma akkadico",Español,,OK
aceddi,Verbo,"aves, pájaros",Español,,OK
aceddu,Sustantivo,"ave, pájaro / polla, pene",Español,,OK
aceddu dû malutempu,Sustantivo,"gaviota, gavia",Español,,OK
aciddittu,Conjunción/Adverbio,tubito de las fontanas de donde sale el agua,Español,,OK
acieddi,Verbo,"aves, pájaros",Español,,OK
acieddu,Sustantivo,"ave, pájaro",Español,,OK
acioli,Sustantivo,idioma acholi,Español,,OK
acitusella,Sustantivo,"acederilla, pan de cuclillo, aleluya (Oxalis acetosella)",Español,,OK
aciu,Sustantivo,"1. comodidad, 2. aseo (del latín aseum: limpio)",Español,,OK
acqua,Sustantivo,agua,Español,,OK
acquazzina,Sustantivo,rocío,Español,,OK
acquazzuni,Sustantivo,"chaparrón, aguacero, chubasco",Español,,OK
acrònimu,Sustantivo,acrónimo,Español,,OK
aculottu,Sustantivo,aguilucho,Español,,OK
acìtrula,Sustantivo,"acederilla, pan de cuclillo, aleluya (Oxalis acetosella)",Español,,OK
acìtula,Sustantivo,"acederilla, pan de cuclillo, aleluya (Oxalis acetosella)",Español,,OK
adaciu adaciu,Verbo,"despacio, despacito",Español,,OK
addanti,Sustantivo,"gamo, dama dama",Español,,OK
addaurufogghiu,Sustantivo,acebo (Ilex aquifolium),Español,,OK
addavì,Sustantivo,"allá, allí",Español,,OK
addavìa,Sustantivo,"allá, allí",Español,,OK
addiddì,Sustantivo,de paseo,Español,,OK
addimànnita,Sustantivo,"1. pregunta, 2. petición, solicitud",Español,,OK
addina,Sustantivo,gallina,Español,,OK
addini,Sustantivo,gallinas,Español,,OK
addiu,Sustantivo,adiós!,Español,,OK
addivertimentu,Sustantivo,"diversión, entretenimiento",Español,,OK
addivirtimentu,Sustantivo,"diversión, entretenimiento",Español,,OK
addorfu,Sustantivo,gallito mal castrado,Español,,OK
addraunara,Verbo,tempestad de vientos con un mar muy agitado,Español,,OK
addu,Sustantivo,gallo,Español,,OK
addubba,Sustantivo,tipo de salsa,Español,,OK
adduffu,Sustantivo,gallito mal castrado,Español,,OK
addumma,Sustantivo,fruto de la palma enana,Español,,OK
addummi,Verbo,dátiles de la palma salvaje,Español,,OK
addummu,Sustantivo,dátil de la palma salvaje,Español,,OK
addunca,Verbo,entonces,Español,,OK
adduorfu,Sustantivo,gallito mal castrado,Español,,OK
addàinu,Sustantivo,"gamo, dama dama",Español,,OK
addàniu,Sustantivo,"gamo, dama dama",Español,,OK
addàuru,Sustantivo,laurel,Español,,OK
adenza,Verbo,"audiencia, escucha, atención",Español,,OK
adenzia,Verbo,"audiencia, escucha, atención",Español,,OK
adornu,Sustantivo,halcón aberejo (Pernis apivorus),Español,,OK
adulatra,Sustantivo,idólatra,Español,,OK
adulatrìa,Sustantivo,idolatría,Español,,OK
adultu,Sustantivo,adulto,Español,,OK
adurtu,Sustantivo,adulto,Español,,OK
adà,Sustantivo,"¡vamos!, ¡vaya!, ¡anda!",Español,,OK
afar,Sustantivo,idioma afar,Español,,OK
affamoria,Verbo,deseo intenso,Español,,OK
affidamentu,Sustantivo,fundamentos (suelo),Español,,OK
affirragghiu,Sustantivo,asa de hierro,Español,,OK
affissu,Sustantivo,afijo,Español,,OK
affittata,Sustantivo,subida,Español,,OK
afrihili,Sustantivo,idioma afrihili,Español,,OK
aggentu,Sustantivo,plata,Español,,OK
agghia,Sustantivo,ajo,Español,,OK
agghialoru,Sustantivo,orzuelo,Español,,OK
agghiandra,Sustantivo,bellota (fruto),Español,,OK
agghianna,Sustantivo,bellota (fruto),Español,,OK
agghiara,Sustantivo,"grava, pedregullo (piedritas)",Español,,OK
agghiastru,Sustantivo,"acebuche, oleastro",Español,,OK
agghiru,Verbo,lirón careto,Español,,OK
agghiu,Sustantivo,ajo,Español,,OK
agghiànnara,Sustantivo,bellota (fruto),Español,,OK
agghiànnira,Sustantivo,bellota (fruto),Español,,OK
agghìgaru,Verbo,"arum italicum (planta), aro, yaro, jumillo, candiles",Español,,OK
aggintinu,Sustantivo,argentino,Español,,OK
aggiu,Sustantivo,comodidad,Español,,OK
aggricazioni,Sustantivo,"agregación, asociación",Español,,OK
aggricazzioni,Sustantivo,"agregación, asociación",Español,,OK
aggrigazioni,Sustantivo,"agregación, asociación",Español,,OK
aggrigazzioni,Sustantivo,"agregación, asociación",Español,,OK
agita,Sustantivo,remolacha (Beta vulgaris),Español,,OK
agiti,Sustantivo,remolachas (Beta vulgaris),Español,,OK
aglia,Sustantivo,ajo,Español,,OK
agliu,Sustantivo,ajo,Español,,OK
agneddi,Sustantivo,corderos,Español,,OK
agneddu,Sustantivo,cordero,Español,,OK
agugghia,Sustantivo,aguja (herramienta),Español,,OK
agurnu,Sustantivo,aliso,Español,,OK
agurru,Sustantivo,aliso,Español,,OK
agustu,Sustantivo,agosto,Español,,OK
agùmara,Sustantivo,madroño (Arbutus unedo),Español,,OK
agùmaru,Sustantivo,madroño (Arbutus unedo),Español,,OK
aia,Sustantivo,"¡vamos!, ¡vaya!, ¡anda!",Español,,OK
aicula,Sustantivo,águila,Español,,OK
aieri,Sustantivo,ayer,Español,,OK
aita,Sustantivo,remolacha (Beta vulgaris),Español,,OK
aiti,Sustantivo,remolachas (Beta vulgaris),Español,,OK
aiutu,Sustantivo,ayuda,Español,,OK
aja,Sustantivo,"¡vamos!, ¡vaya!, ¡anda!",Español,,OK
ajutu,Sustantivo,ayuda,Español,,OK
akkàdicu,Sustantivo,"idioma acádico, idioma akkadico",Español,,OK
alassu,Sustantivo,"Spartium villosum, Calicotome villosa",Español,,OK
alastra,Sustantivo,"Spartium villosum, Calicotome villosa / cabrita",Español,,OK
alastru,Sustantivo,"Spartium villosum, Calicotome villosa",Español,,OK
albergu,Sustantivo,hotel,Español,,OK
albirgaturi,Sustantivo,hotelero,Español,,OK
alburata,Sustantivo,amanecer,Español,,OK
alburi,Sustantivo,"1. luminosidad, 2. amanecer",Español,,OK
alcàuna,Sustantivo,acanto (Acanthus mollis),Español,,OK
alicciola,Sustantivo,"palometón (Lichia amia) / pez de limón (Seriosa dumerili, Seriola dumerili)",Español,,OK
aliva,Sustantivo,"oliva, aceituna",Español,,OK
alivitu,Sustantivo,olivar,Español,,OK
alla,Sustantivo,a la,Español,,OK
alla sanfasò,Verbo,"descuidadamente, negligentemente, con descuido",Español,,OK
alla sonfasò,Verbo,"descuidadamente, negligentemente, con descuido",Español,,OK
allammicu,Verbo,"1. alambique, 2. deseo intenso",Español,,OK
allampacucchi,Sustantivo,hambriento,Español,,OK
alli,Sustantivo,a los / a las,Español,,OK
alligrizza,Sustantivo,alegría,Español,,OK
allirizza,Sustantivo,alegría,Español,,OK
allu,Verbo,al / aquí está,Español,,OK
allu ccà,Verbo,aquí está,Español,,OK
allu ddà,Verbo,aquí está,Español,,OK
alluccà,Verbo,aquí está,Español,,OK
alluddà,Verbo,aquí está,Español,,OK
allura,Verbo,entonces,Español,,OK
allòira,Conjunción/Adverbio,palabra pronunciada para llamar los halcones,Español,,OK
altaru,Sustantivo,altar,Español,,OK
amarizza,Sustantivo,"amargor, amargura",Español,,OK
amicu,Sustantivo,amigo,Español,,OK
amiddeu,Verbo,fresno (Fraxinus),Español,,OK
ammuari,Sustantivo,armarios,Español,,OK
ammuarra,Sustantivo,armario,Español,,OK
ammuarru,Sustantivo,armario,Español,,OK
ammuaru,Sustantivo,armario,Español,,OK
amoddei,Verbo,fresno (Fraxinus),Español,,OK
amuri,Sustantivo,amor,Español,,OK
anacuduna,Sustantivo,finalmente,Italiano,,OK
anchi,Sustantivo,también,Español,,OK
ancieddi,Verbo,"aves, pájaros",Español,,OK
ancieddu,Sustantivo,"ave, pájaro",Español,,OK
ancioa,Sustantivo,"boquerón, anchoa",Español,,OK
anciova,Sustantivo,"boquerón, anchoa",Español,,OK
ancora,Sustantivo,otra vez,Español,,OK
andicchia,Sustantivo,un poco,Español,,OK
angru,Sustantivo,peñasco (en la montaña),Español,,OK
annunca,Verbo,"entonces, de hecho, sino",Español,,OK
anta,Sustantivo,marco de puerta,Español,,OK
anticchia,Sustantivo,un poco,Español,,OK
anìmmulu,Sustantivo,"devanadera, devanador",Español,,OK
anìmulu,Sustantivo,"devanadera, devanador",Español,,OK
apa,Sustantivo,abeja,Español,,OK
apparenza,Sustantivo,apariencia,Español,,OK
apparenzia,Sustantivo,apariencia,Español,,OK
appidamentu,Sustantivo,fundamentos (suelo),Español,,OK
appittata,Sustantivo,subida,Español,,OK
appizzaferru,Sustantivo,"abejaruco europeo (Merops apiaster), abejaruco común",Español,,OK
applicazioni,Sustantivo,aplicación,Español,,OK
applicazzioni,Sustantivo,aplicación,Español,,OK
appricazioni,Sustantivo,aplicación,Español,,OK
appricazzioni,Sustantivo,aplicación,Español,,OK
apprisagghiu,Sustantivo,asa,Español,,OK
appìnnicu,Verbo,siesta,Español,,OK
aprili,Sustantivo,abril,Español,,OK
aprocchiu,Verbo,"cardo estrellado (Centaurea calcitrapa, Calcitrapa vulgaris)",Español,,OK
apruacchiu,Verbo,"cardo estrellado (Centaurea calcitrapa, Calcitrapa vulgaris)",Español,,OK
aracìa,Sustantivo,"altivez, orgullo",Español,,OK
arbaciu,Sustantivo,orbace (tejido de lana),Español,,OK
arbacìa,Sustantivo,"altivez, orgullo",Español,,OK
arbanisi ghegu,Sustantivo,dialecto albanés Tosk,Español,,OK
arbanisi toscu,Sustantivo,dialecto albanés Tosk,Español,,OK
arbergu,Sustantivo,hotel,Español,,OK
arbirgaturi,Sustantivo,hotelero,Español,,OK
arburata,Sustantivo,amanecer,Español,,OK
arcu,Sustantivo,arco,Español,,OK
arcònaci,Sustantivo,acanto (Acanthus mollis),Español,,OK
ardùbbulu,Verbo,abejorro (vespa crabro),Español,,OK
aremi,Sustantivo,dinero (en el juego de cartas),Español,,OK
arenza,Verbo,"audiencia, escucha, atención",Español,,OK
arenzia,Verbo,"audiencia, escucha, atención",Español,,OK
argentu,Sustantivo,plata,Español,,OK
argintinu,Sustantivo,argentino,Español,,OK
aria,Verbo,aire,Español,,OK
aricciola,Sustantivo,palometón (Lichia amia),Español,,OK
ariddu,Sustantivo,grillo /,Español,,OK
ariu,Verbo,aire,Español,,OK
ariuportu,Sustantivo,aeropuerto,Español,,OK
arma,Sustantivo,arma / alma,Español,,OK
armacchìa,Sustantivo,muro de piedra seca,Español,,OK
armacìa,Sustantivo,muro de piedra seca,Español,,OK
armuarra,Sustantivo,armario,Español,,OK
armuarru,Sustantivo,armario,Español,,OK
armuaru,Sustantivo,armario,Español,,OK
aroi,Sustantivo,grulla común (Grus grus),Español,,OK
arpa,Sustantivo,"1. arpa, 2. ave de rapiña",Español,,OK
arrisettu,Sustantivo,"reposo, tranquilidad, paz",Español,,OK
arrumbatu,Verbo,"cesso, ritirata",Italiano,,OK
arrà,Sustantivo,¡arre!,Español,,OK
arrèddira,Sustantivo,hiedra,Español,,OK
arrèpitu,Sustantivo,"1. parloteo, charla, cotorreo, 2. gemido",Español,,OK
arsoliu,Sustantivo,"gasóleo, petróleo",Español,,OK
artaru,Sustantivo,altar,Español,,OK
arti,Verbo,"oficio, profesión",Español,,OK
artista,Sustantivo,artista,Español,,OK
arèddara,Sustantivo,hiedra,Español,,OK
arìanu,Sustantivo,orégano,Español,,OK
asca,Sustantivo,"astilla (madera), rancajo",Español,,OK
ascempru,Sustantivo,ejemplo,Español,,OK
asempiu,Sustantivo,ejemplo,Español,,OK
aspettu,Sustantivo,aspecto,Español,,OK
aspirina,Verbo,aspirina,Español,,OK
assa,Verbo,"usted (a los ancianos, a los pescadores, ecc.)",Español,,OK
assai,Sustantivo,"1. muy, 2. mucho",Español,,OK
assamu,Sustantivo,enjambre (grupo de abejas),Español,,OK
assà,Sustantivo,"1. muy, 2. mucho",Español,,OK
astati,Sustantivo,verano,Español,,OK
atornu,Sustantivo,halcón aberejo (Pernis apivorus),Español,,OK
attinzioni,Sustantivo,atención,Español,,OK
attrisagghia,Sustantivo,"cosquilleo, cosquillas",Español,,OK
attu,Sustantivo,acto / gato,Español,,OK
au,Sustantivo,al,Español,,OK
auceddi,Verbo,"aves, pájaros",Español,,OK
auceddu,Sustantivo,"ave, pájaro",Español,,OK
audenza,Verbo,"audiencia, escucha, atención",Español,,OK
audenzia,Verbo,"audiencia, escucha, atención",Español,,OK
audienza,Verbo,"audiencia, escucha, atención",Español,,OK
audienzia,Verbo,"audiencia, escucha, atención",Español,,OK
augghia,Sustantivo,"1. aguja (herramienta), 2. aguja (pez)",Español,,OK
auliva,Sustantivo,"oliva, aceituna",Español,,OK
aurenzia,Verbo,"audiencia, escucha, atención",Español,,OK
aurienzia,Verbo,"audiencia, escucha, atención",Español,,OK
auruca,Sustantivo,tamarisco (Tamarix gallica),Español,,OK
austu,Sustantivo,agosto,Español,,OK
autaru,Sustantivo,altar,Español,,OK
avaia,Sustantivo,"¡vamos!, ¡vaya!, ¡anda!",Español,,OK
avaja,Sustantivo,"¡vamos!, ¡vaya!, ¡anda!",Español,,OK
aviri lu mali bicchignu,Sustantivo,"aver la corizza, aver il raffreddore",Italiano,,OK
avlaciu,Sustantivo,orbace (tejido de lana),Español,,OK
avogghia,Sustantivo,"hai voglia, ha un bel volere, senz'altro",Italiano,,OK
avornu,Sustantivo,aliso,Español,,OK
avraciu,Sustantivo,orbace (tejido de lana),Español,,OK
avracìa,Sustantivo,"altivez, orgullo",Español,,OK
avugghia,Sustantivo,aguja (herramienta),Español,,OK
avustu,Sustantivo,agosto,Español,,OK
avvilimentu,Sustantivo,"envilecimiento, degradación",Español,,OK
avà,Sustantivo,"¡vamos!, ¡vaya!, ¡anda!",Español,,OK
azazeri,Sustantivo,giocatore di dadi,Italiano,,OK
azzanìa,Sustantivo,también,Español,,OK
azzaru,Sustantivo,acero,Español,,OK
azzentu,Sustantivo,acento,Español,,OK
azziccafrìttuli,Sustantivo,"rácano, tacaño",Español,,OK
aèriu,Sustantivo,"avión, aeroplano",Español,,OK
aùmmaru,Sustantivo,madroño (Arbutus unedo),Español,,OK
aùmmira,Sustantivo,madroño (Arbutus unedo),Español,,OK
babaluci,Sustantivo,caracol,Español,,OK
babba,Sustantivo,barba,Español,,OK
babbaluci,Sustantivo,caracol,Español,,OK
babbaluci a picchipacchi,Conjunción/Adverbio,lumache piccole preparate con speciali intingoli,Italiano,,OK
babbaluciu,Sustantivo,caracol,Español,,OK
babbalà,Verbo,"descuidadamente, negligentemente, con descuido",Español,,OK
babbarottu,Sustantivo,"barbilla, mentón",Español,,OK
babbi,Sustantivo,barbas,Español,,OK
babbuzzana,Sustantivo,gorgojo (Bruchus),Español,,OK
bacana,Sustantivo,prostituta,Italiano,,OK
bacaredda,Sustantivo,boccale di terracotta,Italiano,,OK
baccagghiu,Sustantivo,"jerga, jerigonza",Español,,OK
baccalaru,Sustantivo,bacalao,Español,,OK
baccaredda,Sustantivo,boccale di terracotta,Italiano,,OK
badaloccu,Verbo,"1. persona estúpida, persona tonta, 2. barril cortado",Español,,OK
bagghiu,Sustantivo,patio,Español,,OK
bagliu,Sustantivo,patio,Español,,OK
bagnu,Sustantivo,baño,Español,,OK
bai,Sustantivo,"grossi travi orizzontali, per sostenere i ponti",Italiano,,OK
baialardu,Sustantivo,"strumento portatile fatto di tavole (per comprimere le vinacce), canaletto",Italiano,,OK
baiana,Sustantivo,cáscara,Español,,OK
baietta,Sustantivo,sorta di panno nero,Italiano,,OK
baiuccara,Verbo,"1. femmina di mal affare, 2. ingarzellatura (dicesi in marineria la strangolatura dell'inzinatura)",Italiano,,OK
baiulidda,Sustantivo,la nocciola vincitrice nel gioco,Italiano,,OK
bajana,Sustantivo,cáscara,Español,,OK
balagusta,Sustantivo,fiore di melograno,Italiano,,OK
balata,Sustantivo,"baldosa, losa",Español,,OK
balausta,Sustantivo,fiore di melograno,Italiano,,OK
balcuni,Sustantivo,balcón,Español,,OK
balisfrinu,Sustantivo,cavallo valgo dalle zampe anteriori,Italiano,,OK
ballunaru,Sustantivo,chi le sballa grosse,Italiano,,OK
banana,Sustantivo,plátano,Español,,OK
bancu,Sustantivo,"banco, bancada",Español,,OK
bannera,Sustantivo,bandera,Español,,OK
baraffè,Verbo,volesse il cielo!,Italiano,,OK
baranneri,Sustantivo,inserviente,Italiano,,OK
barba,Sustantivo,barba,Español,,OK
barbi,Sustantivo,barbas,Español,,OK
barbitta,Sustantivo,barbo (Barbus barbus),Español,,OK
barbàinu,Sustantivo,lumaca grande,Italiano,,OK
barbàniu,Sustantivo,lumaca grande,Italiano,,OK
barca,Sustantivo,barquito,Español,,OK
barcocu,Sustantivo,albaricoque,Español,,OK
barcu,Verbo,"alelí (Cheiranthus cheiri, Erysimum cheiri), alhelí dorado, alhelí amarillo",Español,,OK
barcuni,Sustantivo,balcón,Español,,OK
bardareddu,Sustantivo,lumaca,Italiano,,OK
bardigghiu,Sustantivo,ruffiano,Italiano,,OK
bardischi,Sustantivo,bastonate,Italiano,,OK
bariloccu,Verbo,"persona estúpida, persona tonta",Español,,OK
barra,Sustantivo,barra,Español,,OK
barraggeddu,Verbo,guardia campestre,Italiano,,OK
barru,Verbo,estafador,Español,,OK
basana,Sustantivo,corrispondenza degli intagli della chiave con gli orli della serratura,Italiano,,OK
basca,Sustantivo,"ansiedad, ansia",Español,,OK
batalaccu,Sustantivo,dissipatore,Italiano,,OK
bataloccu,Verbo,"1. persona estúpida, persona tonta, 2. barril cortado",Español,,OK
battumi,Sustantivo,impasto di cocci e di malta per pavimenti,Italiano,,OK
baunu,Conjunción/Adverbio,recipiente en tierra cocida para lavar los platos,Español,,OK
bavaluci,Sustantivo,caracol,Español,,OK
bazzachi,Verbo,testicoli,Italiano,,OK
bazzina,Sustantivo,ricotta con el suero,Español,,OK
bazzòcculi,Sustantivo,paliza,Español,,OK
beat'iddu,Verbo,¡Qué feliz es!,Español,,OK
beatiddu,Verbo,¡Qué feliz es!,Español,,OK
becca,Sustantivo,toga (di dottore),Italiano,,OK
beccu,Sustantivo,macho cabrío,Español,,OK
berta,Sustantivo,pancia,Italiano,,OK
biat'iddu,Verbo,¡Qué feliz es!,Español,,OK
biatiddu,Verbo,¡Qué feliz es!,Español,,OK
bibbliuteca,Sustantivo,biblioteca,Español,,OK
bibbrioteca,Sustantivo,biblioteca,Español,,OK
bibbriuteca,Sustantivo,biblioteca,Español,,OK
biblioteca,Sustantivo,biblioteca,Español,,OK
bibliuteca,Sustantivo,biblioteca,Español,,OK
bibrioteca,Sustantivo,biblioteca,Español,,OK
bibriuteca,Sustantivo,biblioteca,Español,,OK
bigghiettu,Sustantivo,"billete, tiquete",Español,,OK
bigliettu,Sustantivo,"billete, tiquete",Español,,OK
bili,Verbo,"1. bilis (líquido de color amarillo), 2. ira, rabia",Español,,OK
billàfia,Sustantivo,"comportamento amanerado, comportamento afectado, mimo",Español,,OK
biltri,Sustantivo,uomo da nulla,Italiano,,OK
birba,Sustantivo,"allegria, passatempo",Italiano,,OK
birra,Sustantivo,cerveza,Español,,OK
biscanti,Sustantivo,chitarra,Italiano,,OK
bisognu,Verbo,necesidad,Español,,OK
bisolu,Sustantivo,umbral,Español,,OK
bisu,Sustantivo,tonno giovane,Italiano,,OK
bitibuè,Sustantivo,gioco di ragazzi,Italiano,,OK
bitt'arma,Sustantivo,benedetta anima,Italiano,,OK
bittazza,Sustantivo,prefica,Italiano,,OK
bitudda,Sustantivo,abedul,Español,,OK
bitùdini,Sustantivo,costumbre,Español,,OK
bivuta,Sustantivo,bevuta,Italiano,,OK
bizzolu,Sustantivo,mensola,Italiano,,OK
