Palabra,Categoria,Traduccion,Idioma,Conjugaciones,Estado
accuddì,Pronombre,"de esta manera, de esta forma",Español,,OK
accura,Pronombre,cuidado!,Español,,OK
accussini,Pronombre,"así, de esta forma",Español,,OK
accussì,Pronombre,"así, de esta forma",Español,,OK
accàdicu,Pronombre,"idioma acádico, idioma akkadico",Español,,OK
aceddi,Pronombre,"aves, pájaros",Español,,OK
aceddu,Pronombre,"ave, pájaro / polla, pene",Español,,OK
aceddu dû malutempu,Pronombre,"gaviota, gavia",Español,,OK
aciddittu,Pronombre,tubito de las fontanas de donde sale el agua,Español,,OK
acieddi,Pronombre,"aves, pájaros",Español,,OK
acieddu,Pronombre,"ave, pájaro",Español,,OK
acioli,Pronombre,idioma acholi,Español,,OK
acitusella,Pronombre,"acederilla, pan de cuclillo, aleluya (Oxalis acetosella)",Español,,OK
aciu,Pronombre,"1. comodidad, 2. aseo (del latín aseum: limpio)",Español,,OK
acqua,Pronombre,agua,Español,,OK
acquazzina,Pronombre,rocío,Español,,OK
acquazzuni,Pronombre,"chaparrón, aguacero, chubasco",Español,,OK
acrònimu,Pronombre,acrónimo,Español,,OK
aculottu,Pronombre,aguilucho,Español,,OK
acìtrula,Pronombre,"acederilla, pan de cuclillo, aleluya (Oxalis acetosella)",Español,,OK
acìtula,Pronombre,"acederilla, pan de cuclillo, aleluya (Oxalis acetosella)",Español,,OK
adaciu adaciu,Pronombre,"despacio, despacito",Español,,OK
addanti,Pronombre,"gamo, dama dama",Español,,OK
addaurufogghiu,Pronombre,acebo (Ilex aquifolium),Español,,OK
addavì,Pronombre,"allá, allí",Español,,OK
addavìa,Pronombre,"allá, allí",Español,,OK
addiddì,Pronombre,de paseo,Español,,OK
addimànnita,Pronombre,"1. pregunta, 2. petición, solicitud",Español,,OK
addina,Pronombre,gallina,Español,,OK
addini,Pronombre,gallinas,Español,,OK
addiu,Pronombre,adiós!,Español,,OK
addivertimentu,Pronombre,"diversión, entretenimiento",Español,,OK
addivirtimentu,Pronombre,"diversión, entretenimiento",Español,,OK
addorfu,Pronombre,gallito mal castrado,Español,,OK
addraunara,Pronombre,tempestad de vientos con un mar muy agitado,Español,,OK
addu,Pronombre,gallo,Español,,OK
addubba,Pronombre,tipo de salsa,Español,,OK
adduffu,Pronombre,gallito mal castrado,Español,,OK
addumma,Pronombre,fruto de la palma enana,Español,,OK
addummi,Pronombre,dátiles de la palma salvaje,Español,,OK
addummu,Pronombre,dátil de la palma salvaje,Español,,OK
addunca,Pronombre,entonces,Español,,OK
adduorfu,Pronombre,gallito mal castrado,Español,,OK
addàinu,Pronombre,"gamo, dama dama",Español,,OK
addàniu,Pronombre,"gamo, dama dama",Español,,OK
addàuru,Pronombre,laurel,Español,,OK
adenza,Pronombre,"audiencia, escucha, atención",Español,,OK
adenzia,Pronombre,"audiencia, escucha, atención",Español,,OK
adornu,Pronombre,halcón aberejo (Pernis apivorus),Español,,OK
adulatra,Pronombre,idólatra,Español,,OK
adulatrìa,Pronombre,idolatría,Español,,OK
adultu,Pronombre,adulto,Español,,OK
adurtu,Pronombre,adulto,Español,,OK
adà,Pronombre,"¡vamos!, ¡vaya!, ¡anda!",Español,,OK
afar,Pronombre,idioma afar,Español,,OK
affamoria,Pronombre,deseo intenso,Español,,OK
affidamentu,Pronombre,fundamentos (suelo),Español,,OK
affirragghiu,Pronombre,asa de hierro,Español,,OK
affissu,Pronombre,afijo,Español,,OK
affittata,Pronombre,subida,Español,,OK
afrihili,Pronombre,idioma afrihili,Español,,OK
aggentu,Pronombre,plata,Español,,OK
agghia,Pronombre,ajo,Español,,OK
agghialoru,Pronombre,orzuelo,Español,,OK
agghiandra,Pronombre,bellota (fruto),Español,,OK
agghianna,Pronombre,bellota (fruto),Español,,OK
agghiara,Pronombre,"grava, pedregullo (piedritas)",Español,,OK
agghiastru,Pronombre,"acebuche, oleastro",Español,,OK
agghiru,Pronombre,lirón careto,Español,,OK
agghiu,Pronombre,ajo,Español,,OK
agghiànnara,Pronombre,bellota (fruto),Español,,OK
agghiànnira,Pronombre,bellota (fruto),Español,,OK
agghìgaru,Pronombre,"arum italicum (planta), aro, yaro, jumillo, candiles",Español,,OK
aggintinu,Pronombre,argentino,Español,,OK
aggiu,Pronombre,comodidad,Español,,OK
aggricazioni,Pronombre,"agregación, asociación",Español,,OK
aggricazzioni,Pronombre,"agregación, asociación",Español,,OK
aggrigazioni,Pronombre,"agregación, asociación",Español,,OK
aggrigazzioni,Pronombre,"agregación, asociación",Español,,OK
agita,Pronombre,remolacha (Beta vulgaris),Español,,OK
agiti,Pronombre,remolachas (Beta vulgaris),Español,,OK
aglia,Pronombre,ajo,Español,,OK
agliu,Pronombre,ajo,Español,,OK
agneddi,Pronombre,corderos,Español,,OK
agneddu,Pronombre,cordero,Español,,OK
agugghia,Pronombre,aguja (herramienta),Español,,OK
agurnu,Pronombre,aliso,Español,,OK
agurru,Pronombre,aliso,Español,,OK
agustu,Pronombre,agosto,Español,,OK
agùmara,Pronombre,madroño (Arbutus unedo),Español,,OK
agùmaru,Pronombre,madroño (Arbutus unedo),Español,,OK
aia,Pronombre,"¡vamos!, ¡vaya!, ¡anda!",Español,,OK
aicula,Pronombre,águila,Español,,OK
aieri,Pronombre,ayer,Español,,OK
aita,Pronombre,remolacha (Beta vulgaris),Español,,OK
aiti,Pronombre,remolachas (Beta vulgaris),Español,,OK
aiutu,Pronombre,ayuda,Español,,OK
aja,Pronombre,"¡vamos!, ¡vaya!, ¡anda!",Español,,OK
ajutu,Pronombre,ayuda,Español,,OK
akkàdicu,Pronombre,"idioma acádico, idioma akkadico",Español,,OK
alassu,Pronombre,"Spartium villosum, Calicotome villosa",Español,,OK
alastra,Pronombre,"Spartium villosum, Calicotome villosa / cabrita",Español,,OK
alastru,Pronombre,"Spartium villosum, Calicotome villosa",Español,,OK
albergu,Pronombre,hotel,Español,,OK
albirgaturi,Pronombre,hotelero,Español,,OK
alburata,Pronombre,amanecer,Español,,OK
alburi,Pronombre,"1. luminosidad, 2. amanecer",Español,,OK
alcàuna,Pronombre,acanto (Acanthus mollis),Español,,OK
alicciola,Pronombre,"palometón (Lichia amia) / pez de limón (Seriosa dumerili, Seriola dumerili)",Español,,OK
aliva,Pronombre,"oliva, aceituna",Español,,OK
alivitu,Pronombre,olivar,Español,,OK
alla,Pronombre,a la,Español,,OK
alla sanfasò,Pronombre,"descuidadamente, negligentemente, con descuido",Español,,OK
alla sonfasò,Pronombre,"descuidadamente, negligentemente, con descuido",Español,,OK
allammicu,Pronombre,"1. alambique, 2. deseo intenso",Español,,OK
allampacucchi,Pronombre,hambriento,Español,,OK
alli,Pronombre,a los / a las,Español,,OK
alligrizza,Pronombre,alegría,Español,,OK
allirizza,Pronombre,alegría,Español,,OK
allu,Pronombre,al / aquí está,Español,,OK
allu ccà,Pronombre,aquí está,Español,,OK
allu ddà,Pronombre,aquí está,Español,,OK
alluccà,Pronombre,aquí está,Español,,OK
alluddà,Pronombre,aquí está,Español,,OK
allura,Pronombre,entonces,Español,,OK
allòira,Pronombre,palabra pronunciada para llamar los halcones,Español,,OK
altaru,Pronombre,altar,Español,,OK
amarizza,Pronombre,"amargor, amargura",Español,,OK
amicu,Pronombre,amigo,Español,,OK
amiddeu,Pronombre,fresno (Fraxinus),Español,,OK
ammuari,Pronombre,armarios,Español,,OK
ammuarra,Pronombre,armario,Español,,OK
ammuarru,Pronombre,armario,Español,,OK
ammuaru,Pronombre,armario,Español,,OK
amoddei,Pronombre,fresno (Fraxinus),Español,,OK
amuri,Pronombre,amor,Español,,OK
anacuduna,Pronombre,finalmente,Italiano,,OK
anchi,Pronombre,también,Español,,OK
ancieddi,Pronombre,"aves, pájaros",Español,,OK
ancieddu,Pronombre,"ave, pájaro",Español,,OK
ancioa,Pronombre,"boquerón, anchoa",Español,,OK
anciova,Pronombre,"boquerón, anchoa",Español,,OK
ancora,Pronombre,otra vez,Español,,OK
andicchia,Pronombre,un poco,Español,,OK
angru,Pronombre,peñasco (en la montaña),Español,,OK
annunca,Pronombre,"entonces, de hecho, sino",Español,,OK
anta,Pronombre,marco de puerta,Español,,OK
anticchia,Pronombre,un poco,Español,,OK
anìmmulu,Pronombre,"devanadera, devanador",Español,,OK
anìmulu,Pronombre,"devanadera, devanador",Español,,OK
apa,Pronombre,abeja,Español,,OK
apparenza,Pronombre,apariencia,Español,,OK
apparenzia,Pronombre,apariencia,Español,,OK
appidamentu,Pronombre,fundamentos (suelo),Español,,OK
appittata,Pronombre,subida,Español,,OK
appizzaferru,Pronombre,"abejaruco europeo (Merops apiaster), abejaruco común",Español,,OK
applicazioni,Pronombre,aplicación,Español,,OK
applicazzioni,Pronombre,aplicación,Español,,OK
appricazioni,Pronombre,aplicación,Español,,OK
appricazzioni,Pronombre,aplicación,Español,,OK
apprisagghiu,Pronombre,asa,Español,,OK
appìnnicu,Pronombre,siesta,Español,,OK
aprili,Pronombre,abril,Español,,OK
aprocchiu,Pronombre,"cardo estrellado (Centaurea calcitrapa, Calcitrapa vulgaris)",Español,,OK
apruacchiu,Pronombre,"cardo estrellado (Centaurea calcitrapa, Calcitrapa vulgaris)",Español,,OK
aracìa,Pronombre,"altivez, orgullo",Español,,OK
arbaciu,Pronombre,orbace (tejido de lana),Español,,OK
arbacìa,Pronombre,"altivez, orgullo",Español,,OK
arbanisi ghegu,Pronombre,dialecto albanés Tosk,Español,,OK
arbanisi toscu,Pronombre,dialecto albanés Tosk,Español,,OK
arbergu,Pronombre,hotel,Español,,OK
arbirgaturi,Pronombre,hotelero,Español,,OK
arburata,Pronombre,amanecer,Español,,OK
arcu,Pronombre,arco,Español,,OK
arcònaci,Pronombre,acanto (Acanthus mollis),Español,,OK
ardùbbulu,Pronombre,abejorro (vespa crabro),Español,,OK
aremi,Pronombre,dinero (en el juego de cartas),Español,,OK
arenza,Pronombre,"audiencia, escucha, atención",Español,,OK
arenzia,Pronombre,"audiencia, escucha, atención",Español,,OK
argentu,Pronombre,plata,Español,,OK
argintinu,Pronombre,argentino,Español,,OK
aria,Pronombre,aire,Español,,OK
aricciola,Pronombre,palometón (Lichia amia),Español,,OK
ariddu,Pronombre,grillo /,Español,,OK
ariu,Pronombre,aire,Español,,OK
ariuportu,Pronombre,aeropuerto,Español,,OK
arma,Pronombre,arma / alma,Español,,OK
armacchìa,Pronombre,muro de piedra seca,Español,,OK
armacìa,Pronombre,muro de piedra seca,Español,,OK
armuarra,Pronombre,armario,Español,,OK
armuarru,Pronombre,armario,Español,,OK
armuaru,Pronombre,armario,Español,,OK
aroi,Pronombre,grulla común (Grus grus),Español,,OK
arpa,Pronombre,"1. arpa, 2. ave de rapiña",Español,,OK
arrisettu,Pronombre,"reposo, tranquilidad, paz",Español,,OK
arrumbatu,Pronombre,"cesso, ritirata",Italiano,,OK
arrà,Pronombre,¡arre!,Español,,OK
arrèddira,Pronombre,hiedra,Español,,OK
arrèpitu,Pronombre,"1. parloteo, charla, cotorreo, 2. gemido",Español,,OK
arsoliu,Pronombre,"gasóleo, petróleo",Español,,OK
artaru,Pronombre,altar,Español,,OK
arti,Pronombre,"oficio, profesión",Español,,OK
artista,Pronombre,artista,Español,,OK
arèddara,Pronombre,hiedra,Español,,OK
arìanu,Pronombre,orégano,Español,,OK
asca,Pronombre,"astilla (madera), rancajo",Español,,OK
ascempru,Pronombre,ejemplo,Español,,OK
asempiu,Pronombre,ejemplo,Español,,OK
aspettu,Pronombre,aspecto,Español,,OK
aspirina,Pronombre,aspirina,Español,,OK
assa,Pronombre,"usted (a los ancianos, a los pescadores, ecc.)",Español,,OK
assai,Pronombre,"1. muy, 2. mucho",Español,,OK
assamu,Pronombre,enjambre (grupo de abejas),Español,,OK
assà,Pronombre,"1. muy, 2. mucho",Español,,OK
astati,Pronombre,verano,Español,,OK
atornu,Pronombre,halcón aberejo (Pernis apivorus),Español,,OK
attinzioni,Pronombre,atención,Español,,OK
attrisagghia,Pronombre,"cosquilleo, cosquillas",Español,,OK
attu,Pronombre,acto / gato,Español,,OK
au,Pronombre,al,Español,,OK
auceddi,Pronombre,"aves, pájaros",Español,,OK
auceddu,Pronombre,"ave, pájaro",Español,,OK
audenza,Pronombre,"audiencia, escucha, atención",Español,,OK
audenzia,Pronombre,"audiencia, escucha, atención",Español,,OK
audienza,Pronombre,"audiencia, escucha, atención",Español,,OK
audienzia,Pronombre,"audiencia, escucha, atención",Español,,OK
augghia,Pronombre,"1. aguja (herramienta), 2. aguja (pez)",Español,,OK
auliva,Pronombre,"oliva, aceituna",Español,,OK
aurenzia,Pronombre,"audiencia, escucha, atención",Español,,OK
aurienzia,Pronombre,"audiencia, escucha, atención",Español,,OK
auruca,Pronombre,tamarisco (Tamarix gallica),Español,,OK
austu,Pronombre,agosto,Español,,OK
autaru,Pronombre,altar,Español,,OK
avaia,Pronombre,"¡vamos!, ¡vaya!, ¡anda!",Español,,OK
avaja,Pronombre,"¡vamos!, ¡vaya!, ¡anda!",Español,,OK
aviri lu mali bicchignu,Pronombre,"aver la corizza, aver il raffreddore",Italiano,,OK
avlaciu,Pronombre,orbace (tejido de lana),Español,,OK
avogghia,Pronombre,"hai voglia, ha un bel volere, senz'altro",Italiano,,OK
avornu,Pronombre,aliso,Español,,OK
avraciu,Pronombre,orbace (tejido de lana),Español,,OK
avracìa,Pronombre,"altivez, orgullo",Español,,OK
avugghia,Pronombre,aguja (herramienta),Español,,OK
avustu,Pronombre,agosto,Español,,OK
avvilimentu,Pronombre,"envilecimiento, degradación",Español,,OK
avà,Pronombre,"¡vamos!, ¡vaya!, ¡anda!",Español,,OK
azazeri,Pronombre,giocatore di dadi,Italiano,,OK
azzanìa,Pronombre,también,Español,,OK
azzaru,Pronombre,acero,Español,,OK
azzentu,Pronombre,acento,Español,,OK
azziccafrìttuli,Pronombre,"rácano, tacaño",Español,,OK
aèriu,Pronombre,"avión, aeroplano",Español,,OK
aùmmaru,Pronombre,madroño (Arbutus unedo),Español,,OK
aùmmira,Pronombre,madroño (Arbutus unedo),Español,,OK
babaluci,Pronombre,caracol,Español,,OK
babba,Pronombre,barba,Español,,OK
babbaluci,Pronombre,caracol,Español,,OK
babbaluci a picchipacchi,Pronombre,lumache piccole preparate con speciali intingoli,Italiano,,OK
babbaluciu,Pronombre,caracol,Español,,OK
babbalà,Pronombre,"descuidadamente, negligentemente, con descuido",Español,,OK
babbarottu,Pronombre,"barbilla, mentón",Español,,OK
babbi,Pronombre,barbas,Español,,OK
babbuzzana,Pronombre,gorgojo (Bruchus),Español,,OK
bacana,Pronombre,prostituta,Italiano,,OK
bacaredda,Pronombre,boccale di terracotta,Italiano,,OK
baccagghiu,Pronombre,"jerga, jerigonza",Español,,OK
baccalaru,Pronombre,bacalao,Español,,OK
baccaredda,Pronombre,boccale di terracotta,Italiano,,OK
badaloccu,Pronombre,"1. persona estúpida, persona tonta, 2. barril cortado",Español,,OK
bagghiu,Pronombre,patio,Español,,OK
bagliu,Pronombre,patio,Español,,OK
bagnu,Pronombre,baño,Español,,OK
bai,Pronombre,"grossi travi orizzontali, per sostenere i ponti",Italiano,,OK
baialardu,Pronombre,"strumento portatile fatto di tavole (per comprimere le vinacce), canaletto",Italiano,,OK
baiana,Pronombre,cáscara,Español,,OK
baietta,Pronombre,sorta di panno nero,Italiano,,OK
baiuccara,Pronombre,"1. femmina di mal affare, 2. ingarzellatura (dicesi in marineria la strangolatura dell'inzinatura)",Italiano,,OK
baiulidda,Pronombre,la nocciola vincitrice nel gioco,Italiano,,OK
bajana,Pronombre,cáscara,Español,,OK
balagusta,Pronombre,fiore di melograno,Italiano,,OK
balata,Pronombre,"baldosa, losa",Español,,OK
balausta,Pronombre,fiore di melograno,Italiano,,OK
balcuni,Pronombre,balcón,Español,,OK
balisfrinu,Pronombre,cavallo valgo dalle zampe anteriori,Italiano,,OK
ballunaru,Pronombre,chi le sballa grosse,Italiano,,OK
banana,Pronombre,plátano,Español,,OK
bancu,Pronombre,"banco, bancada",Español,,OK
bannera,Pronombre,bandera,Español,,OK
baraffè,Pronombre,volesse il cielo!,Italiano,,OK
baranneri,Pronombre,inserviente,Italiano,,OK
barba,Pronombre,barba,Español,,OK
barbi,Pronombre,barbas,Español,,OK
barbitta,Pronombre,barbo (Barbus barbus),Español,,OK
barbàinu,Pronombre,lumaca grande,Italiano,,OK
barbàniu,Pronombre,lumaca grande,Italiano,,OK
barca,Pronombre,barquito,Español,,OK
barcocu,Pronombre,albaricoque,Español,,OK
barcu,Pronombre,"alelí (Cheiranthus cheiri, Erysimum cheiri), alhelí dorado, alhelí amarillo",Español,,OK
barcuni,Pronombre,balcón,Español,,OK
bardareddu,Pronombre,lumaca,Italiano,,OK
bardigghiu,Pronombre,ruffiano,Italiano,,OK
bardischi,Pronombre,bastonate,Italiano,,OK
bariloccu,Pronombre,"persona estúpida, persona tonta",Español,,OK
barra,Pronombre,barra,Español,,OK
barraggeddu,Pronombre,guardia campestre,Italiano,,OK
barru,Pronombre,estafador,Español,,OK
basana,Pronombre,corrispondenza degli intagli della chiave con gli orli della serratura,Italiano,,OK
basca,Pronombre,"ansiedad, ansia",Español,,OK
batalaccu,Pronombre,dissipatore,Italiano,,OK
bataloccu,Pronombre,"1. persona estúpida, persona tonta, 2. barril cortado",Español,,OK
battumi,Pronombre,impasto di cocci e di malta per pavimenti,Italiano,,OK
baunu,Pronombre,recipiente en tierra cocida para lavar los platos,Español,,OK
bavaluci,Pronombre,caracol,Español,,OK
bazzachi,Pronombre,testicoli,Italiano,,OK
bazzina,Pronombre,ricotta con el suero,Español,,OK
bazzòcculi,Pronombre,paliza,Español,,OK
beat'iddu,Pronombre,¡Qué feliz es!,Español,,OK
beatiddu,Pronombre,¡Qué feliz es!,Español,,OK
becca,Pronombre,toga (di dottore),Italiano,,OK
beccu,Pronombre,macho cabrío,Español,,OK
berta,Pronombre,pancia,Italiano,,OK
biat'iddu,Pronombre,¡Qué feliz es!,Español,,OK
biatiddu,Pronombre,¡Qué feliz es!,Español,,OK
bibbliuteca,Pronombre,biblioteca,Español,,OK
bibbrioteca,Pronombre,biblioteca,Español,,OK
bibbriuteca,Pronombre,biblioteca,Español,,OK
biblioteca,Pronombre,biblioteca,Español,,OK
bibliuteca,Pronombre,biblioteca,Español,,OK
bibrioteca,Pronombre,biblioteca,Español,,OK
bibriuteca,Pronombre,biblioteca,Español,,OK
bigghiettu,Pronombre,"billete, tiquete",Español,,OK
bigliettu,Pronombre,"billete, tiquete",Español,,OK
bili,Pronombre,"1. bilis (líquido de color amarillo), 2. ira, rabia",Español,,OK
billàfia,Pronombre,"comportamento amanerado, comportamento afectado, mimo",Español,,OK
biltri,Pronombre,uomo da nulla,Italiano,,OK
birba,Pronombre,"allegria, passatempo",Italiano,,OK
birra,Pronombre,cerveza,Español,,OK
biscanti,Pronombre,chitarra,Italiano,,OK
bisognu,Pronombre,necesidad,Español,,OK
bisolu,Pronombre,umbral,Español,,OK
bisu,Pronombre,tonno giovane,Italiano,,OK
bitibuè,Pronombre,gioco di ragazzi,Italiano,,OK
bitt'arma,Pronombre,benedetta anima,Italiano,,OK
bittazza,Pronombre,prefica,Italiano,,OK
bitudda,Pronombre,abedul,Español,,OK
bitùdini,Pronombre,costumbre,Español,,OK
bivuta,Pronombre,bevuta,Italiano,,OK
bizzolu,Pronombre,mensola,Italiano,,OK
bizzè,Pronombre,abecé (alfabeto),Español,,OK
blattarìa,Pronombre,"1. verbasco (Verbascum blattaria), 2. gordolobo (Verbascum thapsus)",Español,,OK
blonna,Pronombre,tessuto raro di seta per abiti femminili,Italiano,,OK
blusa,Pronombre,bata,Español,,OK
blàcchiti,Pronombre,"lento nell'agire, posapiano",Italiano,,OK
boggiornu,Pronombre,buenos días,Español,,OK
bognornu,Pronombre,buenos días,Español,,OK
